attribution_id,incident_id,attribution_year,attribution_month,attribution_day,attribution_date,attribution_basis,attribution_type,attributing_country,attributing_actor,settled_attribution,initiator_name,initiator_alpha_2,initiator_country,initiator_category,initiator_subcategory
182,134,2013.0,,,,Media-based attribution,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,GCHQ,GB,United Kingdom,State,
183,135,2011.0,,,,Attribution by receiver government / state entity,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,,CN,China,State affiliated actor,
184,136,,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,El Machete,BR,Brazil,,
185,137,2013.0,,,,Media-based attribution,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,GCHQ,GB,United Kingdom,State,
186,137,2013.0,,,,Attribution by third-party,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,GCHQ,GB,United Kingdom,State,
187,138,2016.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,"APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)",,,,
187,138,2016.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,PLA Unit 61398,,,,
188,139,,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,,IN,India,Non-state-group,Criminal(s)
189,140,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Anonymous,,,Non-state-group,Hacktivist(s)
190,141,2010.0,,,,Media-based attribution,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,,VN,Vietnam,State,
191,141,2010.0,,,,Attribution by third-party,"Political statement / report (e.g., on government / state agency websites)",,,,,VN,Vietnam,State,
192,141,2010.0,,,,IT-security community attributes attacker,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,,VN,Vietnam,Non-state-group,Hacktivist(s)
195,143,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,People’s Army of the Fourth Awakening (Latvia),LV,Latvia,Non-state-group,Hacktivist(s)
196,144,2015.0,,,,Attribution by receiver government / state entity,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",,,,Dancing Panda/Legion Amethyst,CN,China,State affiliated actor,
199,146,,,,,Attribution by third-party,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,,CN,China,,
200,147,2011.0,,,,Attribution by receiver government / state entity,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,,CN,China,State affiliated actor,
201,148,2011.0,,,,Attacker confirms,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",,,,GCHQ,GB,United Kingdom,State,
